2024-11-07 16:48:51 0 [Note] Starting MariaDB 10.4.32-MariaDB source revision c4143f909528e3fab0677a28631d10389354c491 as process 2144
2024-11-07 16:48:51 0 [Note] InnoDB: Mutexes and rw_locks use Windows interlocked functions
2024-11-07 16:48:51 0 [Note] InnoDB: Uses event mutexes
2024-11-07 16:48:51 0 [Note] InnoDB: Compressed tables use zlib 1.3
2024-11-07 16:48:51 0 [Note] InnoDB: Number of pools: 1
2024-11-07 16:48:51 0 [Note] InnoDB: Using SSE2 crc32 instructions
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=228] with future log sequence number 421972
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=365] with future log sequence number 421972
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=227] with future log sequence number 421928
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=364] with future log sequence number 421928
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=225] with future log sequence number 421868
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=362] with future log sequence number 421868
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=322] with future log sequence number 421868
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=224] with future log sequence number 421762
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=361] with future log sequence number 421762
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=196] with future log sequence number 421718
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=222] with future log sequence number 420324
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=359] with future log sequence number 420324
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=333] with future log sequence number 421718
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=221] with future log sequence number 420097
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=358] with future log sequence number 420097
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=195] with future log sequence number 420053
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=332] with future log sequence number 420053
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=193] with future log sequence number 419821
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=2, page number=2] with future log sequence number 419274
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=2, page number=8] with future log sequence number 419274
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=2, page number=5] with future log sequence number 419274
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=330] with future log sequence number 419821
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=192] with future log sequence number 412317
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=329] with future log sequence number 412317
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=62] with future log sequence number 412241
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=327] with future log sequence number 412241
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=283] with future log sequence number 545372
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=430] with future log sequence number 545530
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=413] with future log sequence number 545372
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=285] with future log sequence number 543863
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=415] with future log sequence number 543863
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=284] with future log sequence number 543224
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=414] with future log sequence number 543224
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=282] with future log sequence number 542711
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=435] with future log sequence number 542711
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=428] with future log sequence number 586994
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=427] with future log sequence number 586950
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=437] with future log sequence number 586906
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=296] with future log sequence number 586906
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=295] with future log sequence number 586862
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=294] with future log sequence number 586818
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=293] with future log sequence number 586774
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=91, page number=3] with future log sequence number 621762
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=248] with future log sequence number 621742
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=408] with future log sequence number 621485
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=393] with future log sequence number 621742
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=247] with future log sequence number 619856
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=2, page number=6] with future log sequence number 621184
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=384] with future log sequence number 619856
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=246] with future log sequence number 615491
2024-11-07 16:48:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=1, page number=3] with future log sequence number 621164
